Method,Seed,Frame AUC (%),Video AUC (%),Video EER (%)
STT-Repro,42,99.65020602693325,99.97521480502314,1.0029742233972225
STT-Repro,1337,99.67522358311302,99.95869134170522,0.7220753469927281
STT-Repro,2024,99.79197217861864,99.97851949768672,1.1500330469266338
FSTT-Net,42,99.89059660029741,99.98017184401851,0.5750165234633169
FSTT-Net,1337,99.90052358724388,99.98347653668208,1.0029742233972225
FSTT-Net,2024,99.88419375826173,99.97521480502314,1.0029742233972225
