Model,Train,Test,Frame AUC,Video AUC,EER,Clips
FSTT-Net,celebdf,ff++,0.8607642509886897,0.8948714073402353,0.2014017985339681,2995
STT-Repro,celebdf,ff++,0.8406713015441195,0.8688380059951132,0.23009521650419407,2995
